name,price,link
克莱斯勒300C 2007款 2.7L 商务版,3.72万,https://www.guazi.com/Detail?clueId=115338569
玛莎拉蒂Ghibli 2019款 3.0T 350Hp 标准版 国VI,66.79万,https://www.guazi.com/Detail?clueId=112779812
雪佛兰 科迈罗 2015款 3.6L RS限量版(进口),25.50万,https://www.guazi.com/Detail?clueId=114789013
道奇 酷威 2013款 2.4L 两驱尊尚版(进口),7.58万,https://www.guazi.com/Detail?clueId=115223952
宝马X4 2014款 xDrive20i X设计套装(进口),21.88万,https://www.guazi.com/Detail?clueId=115377782
凯迪拉克CT6 2021款 28T 领先超级巡航型,33.98万,https://www.guazi.com/Detail?clueId=113703462
大众 途昂 2017款 380TSI 四驱舒适版,20.68万,https://www.guazi.com/Detail?clueId=115425079
大众 桑塔纳 2015款 1.4L 手动风尚版,3.48万,https://www.guazi.com/Detail?clueId=115342533
纳智捷 大7 SUV 2011款 2.2T 两驱智慧型,2.84万,https://www.guazi.com/Detail?clueId=115570641
别克 阅朗 2019款 18T 自动互联精英型 国V,6.70万,https://www.guazi.com/Detail?clueId=115941797
马自达 阿特兹 2018款 2.5L 蓝天运动版 国V,13.96万,https://www.guazi.com/Detail?clueId=110549330
奥迪A6 2020款 Allroad 探索家 55 TFSI 尊享越野型(进口),54.98万,https://www.guazi.com/Detail?clueId=115193677
比亚迪 汉 2020款 EV 超长续航版尊贵型,21.70万,https://www.guazi.com/Detail?clueId=115868713
奔驰CLS级 2017款 CLS 260逸彩版(进口),38.39万,https://www.guazi.com/Detail?clueId=115226774
比亚迪 汉 2020款 DM 四驱性能版豪华型,17.70万,https://www.guazi.com/Detail?clueId=115579642
林肯 航海家 2019款 2.0T 四驱尊雅版 国VI(进口),29.36万,https://www.guazi.com/Detail?clueId=111626017
斯柯达 昕动 2018款 1.6L 自动标准版,6.18万,https://www.guazi.com/Detail?clueId=115988083
路虎 揽胜极光 2020款 249PS R-DYNAMIC S 运动版,27.70万,https://www.guazi.com/Detail?clueId=111278525
本田 歌诗图 2014款 2.4L 豪华版,12.60万,https://www.guazi.com/Detail?clueId=115505554
奥迪A4L 2017款 45 TFSI quattro 风尚型,22.50万,https://www.guazi.com/Detail?clueId=114379860
大众CC 2019款 330TSI 魅颜版 国VI,18.86万,https://www.guazi.com/Detail?clueId=113170809
福特 新世代全顺 2016款 2.2T短轴6座中顶多功能车,14.03万,https://www.guazi.com/Detail?clueId=115583521
众泰T600 2017款 1.5T 手动精英贺岁版,3.38万,https://www.guazi.com/Detail?clueId=114708023
大众POLO 2016款 1.4L 自动风尚型,5.40万,https://www.guazi.com/Detail?clueId=113146140
大众 尚酷 2015款 1.4TSI 舒适版(进口),11.93万,https://www.guazi.com/Detail?clueId=111756298
大众 速腾 2018款 1.6L 自动舒适型,9.65万,https://www.guazi.com/Detail?clueId=114901762
特斯拉 Model 3 2021款 标准续航后驱升级版,23.68万,https://www.guazi.com/Detail?clueId=115851324
别克 昂科威 2019款 20T 两驱领先型 国VI,12.70万,https://www.guazi.com/Detail?clueId=115549849
日产 天籁 2020款 2.0L XL Upper 智行版,15.99万,https://www.guazi.com/Detail?clueId=115692611
长安CS35 2016款 1.6L 自动豪华型 国V,4.46万,https://www.guazi.com/Detail?clueId=115427668
福特 福克斯 2017款 两厢 1.6L 自动风尚型智行版,6.70万,https://www.guazi.com/Detail?clueId=115339068
丰田 凯美瑞 2012款 骏瑞 2.0S 耀动版,8.28万,https://www.guazi.com/Detail?clueId=115797239
宝马6系GT 2018款 630i M运动套装(进口),44.80万,https://www.guazi.com/Detail?clueId=115289849
福田 风景G9 2020款 2.4L商运版6座商务车国VI 4K22D4M,10.00万,https://www.guazi.com/Detail?clueId=115333616
MINI 2018款 1.5T ONE PLUS,16.70万,https://www.guazi.com/Detail?clueId=115219934
WEY VV7 2017款 2.0T 豪华型,10.30万,https://www.guazi.com/Detail?clueId=115543374
福特 福克斯 2018款 三厢经典 1.6L 自动舒适型智行版,6.78万,https://www.guazi.com/Detail?clueId=114966274
奥迪A6L 2021款 40 TFSI 豪华动感型,36.80万,https://www.guazi.com/Detail?clueId=115565495
本田 雅阁 2015款 2.0L LX 舒适版,11.90万,https://www.guazi.com/Detail?clueId=113392489
马自达 昂克赛拉 2019款 云控版 两厢 1.5L 自动舒适型 国VI,9.50万,https://www.guazi.com/Detail?clueId=114266191
沃尔沃XC60 2019款 T5 四驱智逸版 国V,26.30万,https://www.guazi.com/Detail?clueId=114941886
奥迪A4L 2013款 35 TFSI 自动标准型,14.88万,https://www.guazi.com/Detail?clueId=115827328
广汽传祺 传祺GM6 2019款 270T 自动尊享版（七座）国VI,10.40万,https://www.guazi.com/Detail?clueId=114943844
路虎 揽胜运动版 2020款 3.0 L6 HSE DYNAMIC(进口),88.00万,https://www.guazi.com/Detail?clueId=114619115
五菱汽车 宏光MINI EV 2021款 马卡龙时尚款 磷酸铁锂,3.98万,https://www.guazi.com/Detail?clueId=115565319
马自达 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,8.50万,https://www.guazi.com/Detail?clueId=115041364
宝马X3 2018款 xDrive30i 领先型 M运动套装,34.40万,https://www.guazi.com/Detail?clueId=114821228
东风 御风 2021款 2.4T V9后驱物流车长轴高顶7座国VI 4Y24,14.20万,https://www.guazi.com/Detail?clueId=114963293
宝马X1 2016款 sDrive18Li 时尚型,14.90万,https://www.guazi.com/Detail?clueId=113616511
宝马7系 2019款 改款 740Li 领先型 M运动套装(进口),75.48万,https://www.guazi.com/Detail?clueId=115845441
奔驰C级 2017款 C 200 运动版,21.80万,https://www.guazi.com/Detail?clueId=112846460
