name,price,link
大众 高尔夫·嘉旅 2016款 230TSI 自动进取型,9.60万,https://www.guazi.com/Detail?clueId=115737896
路虎 揽胜极光 2015款 2.0T 五门智耀版,18.19万,https://www.guazi.com/Detail?clueId=114386309
宝马5系 2012款 523Li 豪华型,16.00万,https://www.guazi.com/Detail?clueId=115109438
宝马5系 2014款 525Li 豪华设计套装,22.50万,https://www.guazi.com/Detail?clueId=114281867
奥迪A5 2021款 Sportback 45 TFSI quattro 臻选动感型(进口),40.29万,https://www.guazi.com/Detail?clueId=115999000
MINI 2014款 1.5T COOPER Excitement,13.00万,https://www.guazi.com/Detail?clueId=115780084
凯迪拉克XT6 2020款 28T 六座四驱风尚型,32.00万,https://www.guazi.com/Detail?clueId=115970437
英菲尼迪QX50 2015款 2.5L 悦享版,16.80万,https://www.guazi.com/Detail?clueId=115782411
奔驰A级 2017款 A 180(进口),12.76万,https://www.guazi.com/Detail?clueId=113222247
玛莎拉蒂Levante 2018款 3.0T 350Hp 标准版,75.00万,https://www.guazi.com/Detail?clueId=115642526
雪佛兰 科帕奇 2014款 2.4L 两驱城市版 7座,7.68万,https://www.guazi.com/Detail?clueId=115681667
MINI 2014款 1.5T COOPER Fun,12.00万,https://www.guazi.com/Detail?clueId=115850633
宝马X3 2018款 xDrive28i M运动套装,32.98万,https://www.guazi.com/Detail?clueId=115641186
奔驰C级 2010款 C 200 CGI旅行版(进口),11.69万,https://www.guazi.com/Detail?clueId=115068569
奥迪Q3 2015款 30 TFSI 舒适型,13.99万,https://www.guazi.com/Detail?clueId=115595068
宝马X1 2016款 sDrive18Li 尊享型,16.80万,https://www.guazi.com/Detail?clueId=111966900
广汽传祺 传祺GM8 2020款 领航款 390T 尊享版,17.50万,https://www.guazi.com/Detail?clueId=115178534
宝马X3 2018款 xDrive28i M运动套装,32.98万,https://www.guazi.com/Detail?clueId=115641186
雷克萨斯IS 2017款 300 F SPORT版,27.58万,https://www.guazi.com/Detail?clueId=114474320
江铃 域虎 2017款 2.0T汽油自动四驱超豪华版JX4G20A5L,9.98万,https://www.guazi.com/Detail?clueId=115081726
奔驰R级 2017款 R 320 4MATIC 商务型臻藏版(进口),32.00万,https://www.guazi.com/Detail?clueId=115855215
马自达 阿特兹 2014款 2.0L 蓝天豪华版,9.99万,https://www.guazi.com/Detail?clueId=115428662
MINI 2014款 1.2T ONE,11.10万,https://www.guazi.com/Detail?clueId=115564520
宝马3系 2021款 320Li M运动套装,29.00万,https://www.guazi.com/Detail?clueId=115957712
宝马5系 2013款 520Li 典雅型,18.99万,https://www.guazi.com/Detail?clueId=115312833
宝马1系 2020款 120i M运动套装,15.59万,https://www.guazi.com/Detail?clueId=115510674
奥迪A8L 2013款 A8L 30 FSI 舒适型(进口),24.60万,https://www.guazi.com/Detail?clueId=115217072
高合汽车 高合HiPhi X 2021款 创始版6座,60.00万,https://www.guazi.com/Detail?clueId=114923099
凯迪拉克CT5 2020款 改款 28T 铂金运动版,27.80万,https://www.guazi.com/Detail?clueId=115985046
广汽传祺 2021款 270T 影豹J16版,13.48万,https://www.guazi.com/Detail?clueId=115779644
起亚 嘉华 2015款 3.3GDI 旗舰版 国V(进口),19.30万,https://www.guazi.com/Detail?clueId=115640910
奔驰GLE级 2017款 GLE 320 4MATIC 动感型(进口),46.40万,https://www.guazi.com/Detail?clueId=115264978
大众 蔚揽(进口) 2021款 2.0T 纵行版(进口),31.10万,https://www.guazi.com/Detail?clueId=115932745
